"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1470,0.033,0.377,0.710,0.795,0.792
MAG-GUT14711,0.011,0.152,0.400,0.525,0.630
MAG-GUT14733,0.019,0.225,0.523,0.612,0.594
MAG-GUT14741,0.030,0.339,0.667,0.732,0.732
MAG-GUT14745,0.072,0.311,0.514,0.565,0.508
MAG-GUT1477,0.023,0.258,0.575,0.695,0.717
MAG-GUT1479,0.020,0.219,0.447,0.493,0.384
MAG-GUT14827,0.014,0.245,0.568,0.659,0.743
MAG-GUT1485,0.024,0.237,0.512,0.628,0.759
MAG-GUT1488,0.017,0.223,0.515,0.642,0.696
MAG-GUT14915,0.077,0.494,0.812,0.875,0.839
MAG-GUT1498,0.019,0.218,0.534,0.644,0.661
MAG-GUT1500,0.016,0.219,0.524,0.642,0.692
MAG-GUT15026,0.018,0.197,0.445,0.528,0.550
MAG-GUT15028,0.037,0.282,0.540,0.632,0.649
MAG-GUT15034,0.016,0.154,0.349,0.447,0.558
MAG-GUT15061,0.078,0.411,0.661,0.735,0.742
MAG-GUT15068,0.016,0.228,0.530,0.618,0.601
MAG-GUT15089,0.109,0.533,0.822,0.868,0.860
MAG-GUT1509,0.017,0.219,0.548,0.661,0.704
MAG-GUT1511,0.020,0.230,0.524,0.641,0.656
MAG-GUT15133,0.016,0.152,0.314,0.371,0.384
MAG-GUT15156,0.013,0.155,0.356,0.460,0.574
MAG-GUT1516,0.018,0.262,0.624,0.738,0.780
MAG-GUT151,0.018,0.153,0.300,0.346,0.375
MAG-GUT15223,0.009,0.169,0.439,0.546,0.593
MAG-GUT15229,0.038,0.261,0.513,0.596,0.620
MAG-GUT1522,0.025,0.263,0.586,0.698,0.717
MAG-GUT15232,0.017,0.160,0.365,0.459,0.571
MAG-GUT15246,0.032,0.332,0.643,0.701,0.558
MAG-GUT1527,0.017,0.232,0.566,0.676,0.717
MAG-GUT15285,0.034,0.254,0.506,0.590,0.614
MAG-GUT1529,0.031,0.281,0.597,0.699,0.772
MAG-GUT1534,0.030,0.280,0.592,0.703,0.770
MAG-GUT1537,0.031,0.286,0.600,0.707,0.778
MAG-GUT1541,0.020,0.210,0.425,0.469,0.361
MAG-GUT15427,0.100,0.541,0.796,0.844,0.838
MAG-GUT15486,0.020,0.231,0.497,0.607,0.666
MAG-GUT15497,0.006,0.098,0.258,0.308,0.269
MAG-GUT15498,0.017,0.151,0.324,0.378,0.383
MAG-GUT15544,0.015,0.174,0.399,0.493,0.585
MAG-GUT15546,0.124,0.660,0.917,0.940,0.904
MAG-GUT1556,0.014,0.147,0.297,0.379,0.452
MAG-GUT1559,0.014,0.155,0.302,0.380,0.449
MAG-GUT15605,0.027,0.248,0.521,0.607,0.664
MAG-GUT15625,0.034,0.327,0.620,0.673,0.545
MAG-GUT1565,0.021,0.230,0.524,0.629,0.650
MAG-GUT15742,0.034,0.365,0.715,0.777,0.786
MAG-GUT1578,0.016,0.242,0.591,0.699,0.733
MAG-GUT15797,0.004,0.119,0.316,0.416,0.625
MAG-GUT1584,0.043,0.248,0.424,0.464,0.396
MAG-GUT15850,0.012,0.186,0.457,0.597,0.700
MAG-GUT15872,0.041,0.326,0.622,0.713,0.737
MAG-GUT15880,0.005,0.152,0.419,0.539,0.584
MAG-GUT15909,0.013,0.135,0.275,0.348,0.402
MAG-GUT15914,0.065,0.384,0.638,0.697,0.671
MAG-GUT15916,0.016,0.218,0.524,0.636,0.600
MAG-GUT15989,0.015,0.198,0.480,0.600,0.699
MAG-GUT16017,0.029,0.297,0.590,0.692,0.733
MAG-GUT160,0.009,0.093,0.248,0.337,0.435
MAG-GUT16113,0.053,0.303,0.550,0.629,0.616
MAG-GUT16117,0.030,0.274,0.572,0.685,0.720
MAG-GUT16129,0.077,0.377,0.633,0.698,0.712
MAG-GUT16149,0.013,0.220,0.553,0.684,0.774
MAG-GUT16156,0.027,0.345,0.683,0.756,0.838
MAG-GUT16183,0.056,0.325,0.580,0.667,0.655
MAG-GUT16297,0.012,0.201,0.498,0.617,0.694
MAG-GUT1636,0.024,0.290,0.609,0.718,0.707
MAG-GUT16398,0.017,0.155,0.367,0.448,0.520
MAG-GUT16481,0.017,0.226,0.556,0.665,0.651
MAG-GUT16496,0.057,0.397,0.689,0.755,0.697
MAG-GUT1652,0.018,0.254,0.583,0.712,0.782
MAG-GUT16567,0.060,0.359,0.615,0.678,0.667
MAG-GUT16625,0.076,0.465,0.750,0.803,0.800
MAG-GUT16712,0.078,0.401,0.661,0.740,0.744
MAG-GUT16715,0.011,0.190,0.488,0.631,0.747
MAG-GUT16720,0.057,0.438,0.760,0.815,0.809
